departamento_entidad,gasto_total,n_procesos,pct_adjudicados
Distrito Capital de Bogotá,342744139833288,441277,0.0839744650185711
Antioquia,50149193671022,179165,0.07938492451092569
OTRO,48041929100929,270129,0.07831073302014963
No Definido,25046083606196,114677,0.03912728794788842
Valle del Cauca,18835955338626,116416,0.06985294117647059
Cundinamarca,18565287409488,74566,0.0905372421747177
Santander,12770928901236,69763,0.08131817725728538
Bolívar,11851477993670,46829,0.06451130709603024
Atlántico,11573269611521,36908,0.06719410425923919
Norte de Santander,7803162923875,37871,0.07248290248475087
Boyacá,7087966107609,50135,0.13708985738506033
Caldas,5832005146418,36410,0.10733315023345234
Nariño,5678605364801,41700,0.0452757793764988
Meta,5536593004338,33766,0.10676420067523544
Tolima,5470682913304,40218,0.08627977522502363
Magdalena,4590323435727,40301,0.024540333986749707
