variable,coeficiente
respuestas_al_procedimiento,4.028064028488249
modalidad_de_contratacion_CONTRATACIÓN DIRECTA (CON OFERTAS),3.844750883988308
modalidad_de_contratacion_CONTRATACIÓN RÉGIMEN ESPECIAL (CON OFERTAS),3.106653664463305
modalidad_de_contratacion_MÍNIMA CUANTÍA,2.8972968686147675
modalidad_de_contratacion_LICITACIÓN PÚBLICA,1.6265863443227149
modalidad_de_contratacion_SELECCIÓN ABREVIADA SUBASTA INVERSA,1.4415236473689157
modalidad_de_contratacion_CONCURSO DE MÉRITOS ABIERTO,1.339577964290572
modalidad_de_contratacion_SELECCIÓN ABREVIADA DE MENOR CUANTÍA,1.0699798981817437
modalidad_de_contratacion_OTRO,1.05654782959048
modalidad_de_contratacion_LICITACIÓN PÚBLICA OBRA PUBLICA,0.9934499257676034
departamento_entidad_Norte de Santander,0.5077653200157369
departamento_entidad_Meta,0.37812600268233504
departamento_entidad_Boyacá,0.20165278268699818
departamento_entidad_No Definido,0.12587727721836578
departamento_entidad_Santander,0.12413611891910153
departamento_entidad_Tolima,0.01880014515861698
duracion,0.004778427545249142
departamento_entidad_Valle del Cauca,0.0019122799810711581
proveedores_invitados,0.0013332692231980527
precio_base,0.0005985382457993611
departamento_entidad_Cundinamarca,-0.0055876030333541216
departamento_entidad_Antioquia,-0.03225939823368462
departamento_entidad_OTRO,-0.03566922631705545
departamento_entidad_Magdalena,-0.13983265038596804
departamento_entidad_Atlántico,-0.1599731275967447
departamento_entidad_Bolívar,-0.23894909732056308
departamento_entidad_Caldas,-0.24352499755081825
departamento_entidad_Distrito Capital de Bogotá,-0.4535608391539289
departamento_entidad_Nariño,-0.6074960598104594
modalidad_de_contratacion_CONTRATACIÓN RÉGIMEN ESPECIAL,-8.96455751653953
modalidad_de_contratacion_CONTRATACIÓN DIRECTA,-8.970392582768994
