precio_base,duracion,proveedores_invitados,respuestas_al_procedimiento,modalidad_de_contratacion,departamento_entidad,real,prediccion,probabilidad
1390089591,44,0,0,SELECCIÓN ABREVIADA SUBASTA INVERSA,Distrito Capital de Bogotá,0,0,0.4814507235519049
29148000,7,0,0,CONTRATACIÓN DIRECTA,Distrito Capital de Bogotá,0,0,2.7918792060790337e-05
10000000,5,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Boyacá,0,0,5.4072300057351483e-05
2400000,60,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Atlántico,0,0,3.7664300145734314e-05
47979359,3,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Antioquia,0,0,4.279503542926322e-05
18500000,60,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,No Definido,0,0,5.012656243638322e-05
83538000,20,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Distrito Capital de Bogotá,0,0,2.8082213312212803e-05
17435880,7,0,0,CONTRATACIÓN DIRECTA,Valle del Cauca,0,0,4.402495903929784e-05
39200000,175,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Distrito Capital de Bogotá,0,0,2.8082209478285138e-05
6846748,0,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Distrito Capital de Bogotá,0,0,2.80821543184602e-05
17820000,6,0,0,CONTRATACIÓN DIRECTA,Bolívar,0,0,3.4601767813949285e-05
3400000,46,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,OTRO,0,0,4.264932943160937e-05
22512000,1,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Distrito Capital de Bogotá,0,0,2.8082165807998553e-05
37510000,12,0,0,CONTRATACIÓN DIRECTA,Distrito Capital de Bogotá,0,0,2.7918798965150254e-05
5000000,6,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Antioquia,0,0,4.279498898243953e-05
175280916,60,34,4,SELECCIÓN ABREVIADA DE MENOR CUANTÍA,Antioquia,1,1,0.9976386383954535
22500000,9,0,0,CONTRATACIÓN DIRECTA,Cundinamarca,0,0,4.369603269770049e-05
15000000,166,0,0,CONTRATACIÓN DIRECTA,Nariño,0,0,2.3935661041048916e-05
10000000,35,0,0,CONTRATACIÓN DIRECTA,Valle del Cauca,0,0,4.402495860260468e-05
4000000,2,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Magdalena,0,0,3.843052542629723e-05
6325000,8,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Atlántico,0,0,3.7664291270054466e-05
70000000,4,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Antioquia,0,0,4.2795059929173345e-05
11183200,0,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Antioquia,0,0,4.279499412222239e-05
3300000,47,0,0,CONTRATACIÓN DIRECTA,Valle del Cauca,0,0,4.402495443983816e-05
37327948,210,0,0,CONTRATACIÓN DIRECTA,Distrito Capital de Bogotá,0,0,2.7918834611342456e-05
1800000,1,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,No Definido,0,0,5.012652177889535e-05
5093200,3,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Nariño,0,0,2.4075700581048167e-05
26312000,12,0,0,CONTRATACIÓN DIRECTA,Distrito Capital de Bogotá,0,0,2.7918790929018588e-05
16119720,180,0,0,CONTRATACIÓN DIRECTA,Distrito Capital de Bogotá,0,0,2.791881397072091e-05
1900000,2,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Santander,0,0,5.003932432400805e-05
333200000,5,0,0,CONTRATACIÓN DIRECTA,Antioquia,0,0,4.254637375655695e-05
2856000,9,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Distrito Capital de Bogotá,0,0,2.8082153073517085e-05
11720000,4,0,0,CONTRATACIÓN DIRECTA,Distrito Capital de Bogotá,0,0,2.7918779011693527e-05
30000000,3,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Meta,0,0,6.450774706291637e-05
12250000,105,0,0,CONTRATACIÓN DIRECTA,Caldas,0,0,3.4443817864325196e-05
7468440,10,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Distrito Capital de Bogotá,0,0,2.8082156584703814e-05
3325000,3,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Antioquia,0,0,4.2794986309026365e-05
25200000,120,0,0,CONTRATACIÓN DIRECTA,Antioquia,0,0,4.254606858899454e-05
9400000,8,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Antioquia,0,0,4.279499437641266e-05
13200000,3,0,0,CONTRATACIÓN DIRECTA,Bolívar,0,0,3.4601763033018845e-05
42093000,9,0,0,CONTRATACIÓN DIRECTA,Distrito Capital de Bogotá,0,0,2.7918801712021547e-05
6513622800,335,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Distrito Capital de Bogotá,0,0,2.808691245100979e-05
2863760,0,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Antioquia,0,0,4.2794984970760604e-05
6263670,27,0,0,CONTRATACIÓN DIRECTA,Nariño,0,0,2.393563413310862e-05
187497600,2,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,No Definido,0,0,5.012676136610096e-05
5744000,8,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Distrito Capital de Bogotá,0,0,2.808215497643951e-05
153333333,115,0,0,CONTRATACIÓN DIRECTA,Distrito Capital de Bogotá,0,0,2.791890069596615e-05
22800000,6,0,0,CONTRATACIÓN DIRECTA,Distrito Capital de Bogotá,0,0,2.7918787324522153e-05
93600000,355,0,0,CONTRATACIÓN DIRECTA,Distrito Capital de Bogotá,0,0,2.79189011947773e-05
6357474,3,0,0,CONTRATACIÓN DIRECTA,Santander,0,0,4.974821227259378e-05
57354040,30,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,OTRO,0,0,4.264938416322245e-05
4000000,61,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Antioquia,0,0,4.279500311555481e-05
42436000,5,0,0,CONTRATACIÓN DIRECTA,Valle del Cauca,0,0,4.4024986760173094e-05
121171716,94,0,0,CONTRATACIÓN DIRECTA,Valle del Cauca,0,0,4.402510121795851e-05
10749987,0,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Meta,0,0,6.45077138923925e-05
12000000,6,0,0,CONTRATACIÓN DIRECTA,No Definido,0,0,4.983491111315878e-05
7257600,4,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,No Definido,0,0,5.012652978398289e-05
13075395,190,0,0,CONTRATACIÓN DIRECTA,Valle del Cauca,0,0,4.4025006246314534e-05
20250000,135,0,0,CONTRATACIÓN DIRECTA,Tolima,0,0,4.4774766819318874e-05
5100000,90,0,0,CONTRATACIÓN DIRECTA,Boyacá,0,0,5.375774305807537e-05
15035328,4,0,0,CONTRATACIÓN DIRECTA,Antioquia,0,0,4.254602553164361e-05
3716382,60,0,0,CONTRATACIÓN DIRECTA,Distrito Capital de Bogotá,0,0,2.7918783386670006e-05
14000000,60,0,0,CONTRATACIÓN DIRECTA,Antioquia,0,0,4.25460398192614e-05
101000000,3,0,0,CONTRATACIÓN DIRECTA,Distrito Capital de Bogotá,0,0,2.791884290193015e-05
95068663,4,0,3,CONCURSO DE MÉRITOS ABIERTO,Distrito Capital de Bogotá,1,1,0.9875841133795132
13257884,111,0,0,CONTRATACIÓN DIRECTA,Santander,0,0,4.97482558685042e-05
553285412,4,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Distrito Capital de Bogotá,0,0,2.8082549488899826e-05
2600000,59,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,OTRO,0,0,4.2649332142898706e-05
10800000,4,0,0,CONTRATACIÓN DIRECTA,Norte de Santander,0,0,7.300884428837645e-05
7000000,169,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Valle del Cauca,0,0,4.428262167233938e-05
28864220,105,0,0,CONTRATACIÓN DIRECTA,Distrito Capital de Bogotá,0,0,2.7918809564857266e-05
8758585,164,0,0,CONTRATACIÓN DIRECTA,Antioquia,0,0,4.254606272409458e-05
4136792,10,0,0,CONTRATACIÓN DIRECTA,OTRO,0,0,4.240119386702636e-05
18000000,3,0,0,CONTRATACIÓN DIRECTA,Atlántico,0,0,3.7445175818526985e-05
7852548,66,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,No Definido,0,0,5.012655066413266e-05
13656000,107,0,0,CONTRATACIÓN DIRECTA,Valle del Cauca,0,0,4.402498325448226e-05
5700000,7,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Distrito Capital de Bogotá,0,0,2.8082154762930373e-05
12772000,4,0,0,CONTRATACIÓN DIRECTA,Valle del Cauca,0,0,4.402495290676567e-05
10800000,116,0,0,CONTRATACIÓN DIRECTA,Distrito Capital de Bogotá,0,0,2.79187985888492e-05
2508656,27,0,0,CONTRATACIÓN DIRECTA,Distrito Capital de Bogotá,0,0,2.7918776557159325e-05
2100000,19,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Antioquia,0,0,4.279498939296859e-05
1476940,60,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Antioquia,0,0,4.2795000063198496e-05
3421440,6,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Distrito Capital de Bogotá,0,0,2.8082152936429034e-05
6601516,34,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Bolívar,0,0,3.480425085178954e-05
5200000,48,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,OTRO,0,0,4.264933195693364e-05
70000000,364,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Antioquia,0,0,4.2795159637164266e-05
5646667,66,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Atlántico,0,0,3.766430475151428e-05
16531744,7,0,12,MÍNIMA CUANTÍA,Distrito Capital de Bogotá,1,1,0.9999999968988333
42100000,10,0,0,CONTRATACIÓN DIRECTA,Distrito Capital de Bogotá,0,0,2.7918801897736042e-05
15200000,4,0,0,CONTRATACIÓN DIRECTA,Norte de Santander,0,0,7.300885254530458e-05
45000000,30,0,0,SELECCIÓN ABREVIADA DE MENOR CUANTÍA,Distrito Capital de Bogotá,0,0,0.3903575345189181
23000000,1,0,16,MÍNIMA CUANTÍA,Distrito Capital de Bogotá,1,1,0.9999999999928326
8400000,3,0,0,CONTRATACIÓN RÉGIMEN ESPECIAL,Antioquia,0,0,4.279499189157376e-05
